수집날짜,발행날짜,키워드매칭,기사제목,링크,출처,미디어타입,비고
2026-04-02,2026-04-02,프리뷰,"[BK 프리뷰] ‘홈 최종전’ 한국가스공사, 천적 소노 넘고 유종의 미 거...",https://basketkorea.com/news/newsview.php?ncode=1065581960615920,네이버 뉴스,Portal,
2026-04-02,2026-04-02,프리뷰,[H리그 프리뷰] 4위 쟁탈전부터 미리 보는 챔프전까지… 삼척을 달굴 남...,https://www.mk.co.kr/article/12006098,네이버 뉴스,Portal,
2026-04-02,2026-04-02,프리뷰,[JB프리뷰] ‘10연승 끊긴 후 첫 경기’ 소노는 창단 첫 특정 팀 전승을...,https://m.sports.naver.com/basketball/article/065/0000295553,네이버 뉴스,Portal,
2026-04-02,2026-04-02,프리뷰,"[STN@프리뷰] 대한항공 vs 현대캐피탈, 그 어느 때보다 뜨거운 맞대결",https://www.stnsports.co.kr/news/articleView.html?idxno=314901,네이버 뉴스,Portal,
2026-04-02,2026-04-02,프리뷰,"[STN@프리뷰] 왕좌 탈환의 해결사 될까...마쏘, 챔프전서 운명의 데뷔전",https://www.stnsports.co.kr/news/articleView.html?idxno=314897,네이버 뉴스,Portal,
2026-04-02,2026-04-02,프리뷰,[서울옥션 스페셜리스트의 눈] 마켓 클러스터의 귀환,https://weekly.cnbnews.com/news/article.html?no=210811,네이버 뉴스,Portal,
2026-04-02,2026-04-02,프리뷰,"Xbox Game Pass, 3종의 신규 게임 추가된다",https://www.inven.co.kr/webzine/news/?news=314966,네이버 뉴스,Portal,
2026-04-02,2026-04-02,프리뷰,"〈빌리 엘리어트〉 스티븐 달드리 첫 내한, 프리뷰 무대 인사",http://www.sctoday.co.kr/news/articleView.html?idxno=47494,네이버 뉴스,Portal,
2026-04-02,2026-04-02,프리뷰,"대학로 연극 ‘비누향기’, 8차 캐스팅 공개…4월 4일 새 시즌 개막",https://www.gosiweek.com/article/1065601572285214,네이버 뉴스,Portal,
2026-04-02,2026-04-02,프리뷰,라이벌 매치 한가득! 안양VS서울부터 '현대가 더비'까지...K리그1 6라운드...,https://www.fourfourtwo.co.kr/news/articleView.html?idxno=89892,네이버 뉴스,Portal,
2026-04-02,2026-04-02,프리뷰,"뮤지컬 '빌리 엘리어트' 스티븐 달드리, 내한 확정.. 4월 12일 프리뷰 첫...",https://www.stardailynews.co.kr/news/articleView.html?idxno=530119,네이버 뉴스,Portal,
2026-04-02,2026-04-02,프리뷰,"개막 5연승' 수원 삼성, 선두 굳히기 나선다 [K리그2 프리뷰] - 네이트",https://news.google.com/rss/articles/CBMiU0FVX3lxTFBJTzE4X2wyVGswVWNvcWJpWTR4NjZySWpKS1ZHZmVGZUUwNHVYZmxBZ19STTdITlc0NW5RSHBCRlF3U2JtaTdzNjNPcUppbnZKd01r?oc=5,네이트,Portal,
2026-04-02,2026-04-02,프리뷰,[H리그 프리뷰] 4위 쟁탈전부터 미리 보는 챔프전까지… 삼척을 달굴 남자부 3연전 - 매일경제,https://news.google.com/rss/articles/CBMiU0FVX3lxTE5WY3c0YWJrWWVVVW9pZXR5dDNEWlNpdFU5X0MybkppSEM0Z3g5NjFGUWxiSjZZS3ZzTG5PNnZ2UFFKbXVsNUJ4YzlwNFZlbDJNMlEw?oc=5,매일경제,Portal,
2026-04-02,2026-04-02,프리뷰,"[BK 프리뷰] ‘홈 최종전’ 한국가스공사, 천적 소노 넘고 유종의 미 거둘까? - 바스켓코리아",https://news.google.com/rss/articles/CBMid0FVX3lxTE5YNG5URG9iZFZ2d2owNnNUd1RpbWIzRFljdzJ5aGdydDJjdFVGLXU5eTZqVW5seTRFa0Q5ak0tcTJHbGNCT21wdDVtMnlvc00tMmZIdWVjR3FPamkwWjVsa18tX2JiWjVTS3QwZ1JvcUJsN2hpZWlv?oc=5,바스켓코리아,Portal,
2026-04-02,2026-04-02,프리뷰,[프리뷰] 위닝 시리즈를 향한 종착역 - 브런치,https://news.google.com/rss/articles/CBMiU0FVX3lxTE1PU3FPTi1MZlB2OUNiZ2lRcUs0S0ZPdlF4dFR4cWYyc19Ua0EzRjFYV1pFVnFVQm1Nb1NBWTNhR0pSSHJoVGtWakFPRGpvd0szaE9Z?oc=5,브런치,Portal,
2026-04-02,2026-04-02,프리뷰,"〈빌리 엘리어트〉 스티븐 달드리 첫 내한, 프리뷰 무대 인사 - 서울문화투데이",https://news.google.com/rss/articles/CBMiakFVX3lxTE1xT3J3RDc0STV0UnVoN1JYVjZpeUhLQzNyLW9idERnelU3WHFVbVFkTWt1MmtaUnMzdWdHX2ZWR3VjWnN6X1liTVBra3o2MVhOM0h0MVhTb2hpdmZsR0dTSWszVGNPWDNlMWc?oc=5,서울문화투데이,Portal,
2026-04-02,2026-04-02,프리뷰,"“브람스·라흐마니노프 한 무대”…창원시향, 교향악축제 프리뷰 개최 - 코리아이글뉴스",https://news.google.com/rss/articles/CBMickFVX3lxTE1qWklTMUxLczBmeHEtY183SXNHal9kaXhxZG5pRGQwWldaYlZramhTeEdzWC13S2FYaHVkczZnZnVXalV0MkNmajZobG4zRGZ1amJLTkh3Wm9MMG1aczZTRlY5a1VfeGlSSk0wNUJKZkdadw?oc=5,코리아이글뉴스,Portal,
2026-04-02,2026-04-02,환율,"중동 사태 장기화 우려…울산, 전방위 대응 나서",https://www.iusm.co.kr/news/articleView.html?idxno=1061297,네이버 뉴스,Portal,
2026-04-02,2026-04-02,환율,김용범 “韓증시 복원력 확인…환율 점진적 회귀 여지 충분” - 서울경제,https://news.google.com/rss/articles/CBMiUkFVX3lxTFBORTVwUFpmdGVJSVZnRjRjZlhpdkl0NExyeVZXdy1NOUV6MlNKLXJCYTg4T1pCV3VLbFlwZF9hVGNCTUM1SFVISnNIOWlNMDhWOVHSAVNBVV95cUxPSks4dlFQajVBa2NXTF9Uc0pYRk1KeDNVbm5ybkUzdFBoZXVsQ0luemdPbDVUYV9RSnJfaTlOMV9iR2hBcjhEN2p3WUlXYUtVdUVlbw?oc=5,서울경제,Portal,
2026-04-02,2026-04-02,환율,"무너진 종전 기대감… 환율 1520원 재돌파, 삼전·하닉 4%대 급락 - 서울신문",https://news.google.com/rss/articles/CBMib0FVX3lxTE5PdjBsUktsbk9SZnNFWUJvMjFfOGlseHUwT3BqZ0xXbTM5Z3hUekNfcTRMQjQ1eXhLZVF5QXF3akJZNTJsTGd5R3d1Sm04QnBLUFlad0ZPMy1XMkdqVm5GSGJPSV85eVgzcEVOeEItMA?oc=5,서울신문,Portal,
2026-04-02,2026-04-02,환율,"""종전 기대 과했나""···원·달러 환율, 10.9원 오른 1512.2원 출발 - 서울파이낸스",https://news.google.com/rss/articles/CBMiakFVX3lxTE5uTEhJTHZyTVIzbDhBRjJSMW83VW1QUk9GUkhQN2dwOUtRSWU2MG9zOGxPMUtDV1VnTTdEMS04THRQcnFrNUxFUTRyU24xSWxxTlpPOFZIN0x6TUdNQVJsMUxLQ2I2aXBqOUE?oc=5,서울파이낸스,Portal,
2026-04-02,2026-04-02,환율,"[초점] 원·달러 환율 저항선 1500원 '훌쩍'···'나홀로' 약세, 끝은? - 서울파이낸스",https://news.google.com/rss/articles/CBMiakFVX3lxTFBad2dWT1E4OVg5ZTVxZWh3YXB0TklhaWw1YU9JcldzVWZkQ0stWGFKUXI0SDlrTDZvVHdkTmlWc29aSlRja19BdEc4UjFldi1vVnAyZTlIWThhWm00T0cwbFZxODVzVFpaWnc?oc=5,서울파이낸스,Portal,
2026-04-02,2026-04-02,환율,"트럼프 엄포에 종전 기대 '뚝'···원·달러 환율, 1520원 재돌파 - 서울파이낸스",https://news.google.com/rss/articles/CBMiakFVX3lxTE9EaG05cHdGMEczV202WTNMeFY0NnM5Mjd0Y3lMSHBuSHZNU0RITERnSTZVbGpZWmJtSXNvX2l0NTRHWFp4cjdybXhidVEzZDE4V2xVclhXOC1wSkxIZ0FLWjk4ek1MNUx0MUE?oc=5,서울파이낸스,Portal,
2026-04-02,2026-04-01,FTA,"무역협회, 울산 수출기업 통상애로 해소 박차",http://www.ujeil.com/news/articleView.html?idxno=383525,네이버 뉴스,Portal,
2026-04-02,2026-04-01,FTA,"울산무역협회, 중동사태 기업 애로해소 지원",http://web.ubc.co.kr/wp/archives/126706,네이버 뉴스,Portal,
2026-04-02,2026-04-01,SPA,"트럼프 시대 한복판, 뉴욕·시애틀은 정반대로 갔다…한국은? - v.daum.net",https://news.google.com/rss/articles/CBMiT0FVX3lxTFBoemZqNnAyeENIUm9HVUdzN2tpWkZtUFdGRGdHZnprOHQ4ZHZMOG5mVXVPbi0yLTA0eUV0ZHhaM2hoNUo5ci02R1ViQlFaRmM?oc=5,v.daum.net,Portal,
2026-04-02,2026-04-01,SPA,"[N2 뷰] 무신사, 지난해 사상 최대 실적…오프라인·글로벌 확장으로 IP...",https://www.news2day.co.kr/article/20260331500213,네이버 뉴스,Portal,
2026-04-02,2026-04-01,SPA,"‘마뗑킴’ 키운 하고하우스, 올해 ‘맨즈 패션’ 정조준",https://www.ekn.kr/web/view.php?key=20260401022242776,네이버 뉴스,Portal,
2026-04-02,2026-04-01,SPA,"마세라티코리아, 현대백화점 판교점서 팝업스토어 진행",http://www.paxetv.com/news/articleView.html?idxno=267954,네이버 뉴스,Portal,
2026-04-02,2026-04-01,SPA,"무신사스탠다드 수익 기여도 커진다, 조만호 '자체브랜드 기업' 체질 강...",https://www.businesspost.co.kr/BP?command=article_view&num=434700,네이버 뉴스,Portal,
2026-04-02,2026-04-01,SPA,"트럼프 시대 한복판, 뉴욕·시애틀은 정반대로 갔다…한국은?",https://www.pressian.com/pages/articles/2026033113012282004?utm_source=naver&utm_medium=search,네이버 뉴스,Portal,
2026-04-02,2026-04-01,산업용 전기요금,"남는 발전소를 위한 AI는 없다… 울산AWS 데이터센터, 사업성 떨어져",https://www.fortunekorea.co.kr/news/articleView.html?idxno=52016,네이버 뉴스,Portal,
2026-04-02,2026-04-01,섬유전시회,"삼양사, 알룰로스로 '승부수'…스페셜티 소재 사업 확대",http://www.hansbiz.co.kr/news/articleView.html?idxno=829208,네이버 뉴스,Portal,
2026-04-02,2026-04-01,섬유전시회,"PSID 2026, 한·중 섬유·패션 협력 신호탄 - 한국섬유신문",https://news.google.com/rss/articles/CBMiY0FVX3lxTE9vTVc2QzRKaEdPam4wenZxZkV0Z3FSMVlPcnkzUzU1SWFGS2tFY21oU3FNcjBUZ3lIYkY0OUZ1eXozMTh6S2piRmhjWmpBdWN2Nmt5Y2xNVnRzT1BzanphbFVRSQ?oc=5,한국섬유신문,Portal,
2026-04-02,2026-04-01,성장률,쿠팡 입점 소상공인 30만명…거래액 성장률 20%↑ - 서울경제TV,https://news.google.com/rss/articles/CBMiZEFVX3lxTE41SlkyUXptNmJjUUJOdXdkWmJMWWt3T0VKWE41WnVGZzItaE5HT25kdElkd2xnXzBkWk1iTy1aM2s2SmV3dDlwTlN5WnhuTUN0RDZXNGVnMmRqMHZoMHBYTVRQbmE?oc=5,서울경제TV,Portal,
2026-04-02,2026-04-01,유가,"국제유가 하락, 중동지역 정세 안정 기대감 커진 영향 - businesspost.co.kr",https://news.google.com/rss/articles/CBMic0FVX3lxTE5IUDh2d2s1MFcyZ05XdTdyQ0VTT2dHNlVEV0FPTEU5TmpFSnFnWFBjeUtMNzlweThEeG56cU5RdnpJWjVXMWlqbm9MN3dnTkZ6Ry1yQkItS0dLbWQ1dW5fb2ZMVmVWczVNU0pGaWVqVklxS1U?oc=5,businesspost.co.kr,Portal,
2026-04-02,2026-04-01,최저임금,복지TV뉴스24_ 장애인 최저임금 적용제외 폐지 촉구…“장애 이유로 임금 차별 안 돼” - 복지TV부울경방송,https://news.google.com/rss/articles/CBMiaEFVX3lxTE9JVHJiR1FGR1B4NkJNLTZuNjJSSDNOZk1CNlRnUXhnVFhVTHlhRGM3dGhyVWltTVhvMmNRS2ozeHFqcG9ISWZuX3lpNkZpRXRDX09IeUYzb2tsLXhkOHhQS2JySmtReFNI?oc=5,복지TV부울경방송,Portal,
2026-04-02,2026-04-01,패션전시회,"英, 패션 소싱 박람회 SVP 4월 개막…소싱·AI 트렌드 집중 논의 - itnk.co.kr",https://news.google.com/rss/articles/CBMiZ0FVX3lxTE9BbTNld0RiNnRoaDdCUU0xTGFXRXlTazI1OFBVdXI4d2F2WHBPanNzU0oxWEhiVzVsUnJYb2d2UXJCYkl4S1NETGo1WDR2TEtlYkNZQ1hJRHktYmlLVDdpNWIza01ZOG8?oc=5,itnk.co.kr,Portal,
2026-04-02,2026-04-01,패션전시회,[Review] 와라! 하위문화의 반란 - 울트라백화점 Vol.2: 포스트 서브컬쳐,https://www.artinsight.co.kr/news/view.php?no=80333,네이버 뉴스,Portal,
2026-04-02,2026-04-01,프리뷰,"[1일 프리뷰] '류현진 출격' 한화, KT 개막 4연승 저지할까 - osen.co.kr",https://news.google.com/rss/articles/CBMiU0FVX3lxTE51RTFlZVRrdk9KN2tqS1hESGdDMjZOUHFrT1pId2J5UTg4MmJ5Rnpiek5WcmZPTkUxUW9BOHIzeUVkS3doaEZqbTh1VVRkX0hTOEk4?oc=5,osen.co.kr,Portal,
